Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad,01/12/2011,1637,Cotton (Unginned),3500,3650,3600,
,02/12/2011,1395.7,Cotton (Unginned),3500,3650,3600,
,03/12/2011,1298.6,Cotton (Unginned),3620,3700,3680,
,05/12/2011,1309.1,Cotton (Unginned),3600,3750,3700,
,07/12/2011,1658.1,Cotton (Unginned),3600,3750,3700,
,08/12/2011,640.1,Cotton (Unginned),3600,3760,3720,
,09/12/2011,905.1,Cotton (Unginned),3650,3775,3750,
,10/12/2011,1088.8,Cotton (Unginned),3550,3780,3700,
,12/12/2011,1888.7,Cotton (Unginned),3600,3750,3700,
,13/12/2011,1652,Cotton (Unginned),3520,3670,3650,
,14/12/2011,1555.6,Cotton (Unginned),3550,3700,3650,
,15/12/2011,1105.2,Cotton (Unginned),3550,3700,3650,
,16/12/2011,1216.1,Cotton (Unginned),3550,3720,3700,
,17/12/2011,1193.7,Cotton (Unginned),3600,3900,3700,
,19/12/2011,2388,Cotton (Unginned),3700,3950,3825,
,20/12/2011,515.9,Cotton (Unginned),3500,3880,3750,
,21/12/2011,1509.7,Cotton (Unginned),3700,3850,3750,
,22/12/2011,1012.9,Cotton (Unginned),3700,3830,3750,
,23/12/2011,1471.9,Cotton (Unginned),3520,3780,3700,
,26/12/2011,2789.9,Cotton (Unginned),3500,3720,3700,
,27/12/2011,1362.6,Cotton (Unginned),3500,3710,3650,
,28/12/2011,1152.4,Cotton (Unginned),3550,3700,3650,
,29/12/2011,1142.4,Cotton (Unginned),3550,3700,3650,
,30/12/2011,2371.7,Cotton (Unginned),3600,3830,3760,
,31/12/2011,707.8,Cotton (Unginned),3600,3870,3800,
Asifabad,01/12/2011,301.6,Cotton (Unginned),3525,3650,3600,
,02/12/2011,195.7,Cotton (Unginned),3525,3650,3600,
,03/12/2011,213.4,Cotton (Unginned),3500,3700,3650,
,04/12/2011,222.5,Cotton (Unginned),3500,3720,3700,
,05/12/2011,81.1,Cotton (Unginned),3600,3720,3700,
,06/12/2011,210.1,Cotton (Unginned),3500,3720,3700,
,07/12/2011,183.5,Cotton (Unginned),3500,3720,3700,
,08/12/2011,172.5,Cotton (Unginned),3500,3720,3700,
,09/12/2011,163.3,Cotton (Unginned),3500,3760,3730,
,10/12/2011,179.6,Cotton (Unginned),3500,3800,3750,
,11/12/2011,212.6,Cotton (Unginned),3500,3800,3750,
,12/12/2011,141.4,Cotton (Unginned),3500,3800,3750,
,13/12/2011,275.4,Cotton (Unginned),3500,3700,3670,
,14/12/2011,311.8,Cotton (Unginned),3500,3710,3670,
,15/12/2011,233.8,Cotton (Unginned),3500,3700,3670,
,16/12/2011,288.8,Cotton (Unginned),3500,3720,3700,
,17/12/2011,325.5,Cotton (Unginned),3500,3720,3720,
,18/12/2011,323.9,Cotton (Unginned),3500,3750,3720,
,19/12/2011,143.6,Cotton (Unginned),3500,3800,3750,
,20/12/2011,465.4,Cotton (Unginned),3500,3800,3720,
,21/12/2011,344.5,Cotton (Unginned),3500,3780,3750,
,22/12/2011,370.5,Cotton (Unginned),3450,3800,3700,
,23/12/2011,389.7,Cotton (Unginned),3450,3800,3700,
,24/12/2011,330.7,Cotton (Unginned),3450,3700,3640,
,25/12/2011,354.5,Cotton (Unginned),3450,3775,3650,
,26/12/2011,153.4,Cotton (Unginned),3450,3775,3650,
,27/12/2011,339.6,Cotton (Unginned),3450,3670,3650,
,29/12/2011,344.1,Cotton (Unginned),3450,3700,3620,
,30/12/2011,358.5,Cotton (Unginned),3500,3770,3750,
,31/12/2011,423.2,Cotton (Unginned),3500,3820,3750,
Badepalli,03/12/2011,532.9,Desi,3327,3709,3590,
,04/12/2011,0.1,Desi,3327,3709,3590,
,07/12/2011,206.8,Desi,3387,3850,3680,
,10/12/2011,412.8,Desi,3480,3861,3727,
,13/12/2011,0.1,Desi,3609,4122,3869,
,14/12/2011,300.3,Desi,3419,3770,3689,
,17/12/2011,566,Desi,3431,3830,3779,
,21/12/2011,497.3,Desi,3429,3849,3680,
,28/12/2011,670.2,Desi,3430,3830,3759,
,31/12/2011,603.5,Desi,3460,3890,3789,
Bhainsa,01/12/2011,337.2,Cotton (Unginned),3600,3661,3650,
,02/12/2011,356.2,Cotton (Unginned),3700,3740,3700,
,03/12/2011,253.5,Cotton (Unginned),3700,3815,3725,
,05/12/2011,402.4,Cotton (Unginned),3775,3775,3775,
,07/12/2011,326.5,Cotton (Unginned),3750,3817,3770,
,08/12/2011,433,Cotton (Unginned),3700,3805,3750,
,09/12/2011,332.3,Cotton (Unginned),3775,3830,3800,
,10/12/2011,329.7,Cotton (Unginned),3775,3805,3800,
,12/12/2011,399.5,Cotton (Unginned),3700,3800,3750,
,13/12/2011,631.1,Cotton (Unginned),3700,3755,3750,
,14/12/2011,310.6,Cotton (Unginned),3700,3775,3750,
,16/12/2011,481.4,Cotton (Unginned),3700,3800,3700,
,17/12/2011,780.7,Cotton (Unginned),3750,3825,3775,
,19/12/2011,760.5,Cotton (Unginned),3750,3850,3800,
,20/12/2011,822.6,Cotton (Unginned),3750,3830,3775,
,21/12/2011,1048.3,Cotton (Unginned),3650,3710,3675,
,22/12/2011,906.3,Cotton (Unginned),3650,3710,3675,
,23/12/2011,568.1,Cotton (Unginned),3600,3661,3630,
,26/12/2011,523.2,Cotton (Unginned),3600,3685,3650,
,27/12/2011,645,Cotton (Unginned),3675,3775,3700,
,28/12/2011,740.7,Cotton (Unginned),3690,3771,3700,
,29/12/2011,785.9,Cotton (Unginned),3700,3821,3750,
,30/12/2011,757,Cotton (Unginned),3700,3835,3780,
,31/12/2011,921,Cotton (Unginned),3700,3835,3775,
Bichkunda,01/12/2011,0.1,Savita,3951,3951,3951,
,02/12/2011,398,Savita,3980,3980,3980,
,03/12/2011,0.1,Savita,4000,4000,4000,
,04/12/2011,0.1,Savita,4000,4000,4000,
,05/12/2011,0.1,Savita,3915,3915,3915,
,06/12/2011,0.1,Savita,3917,3917,3917,
,07/12/2011,0.1,Savita,3917,3917,3917,
,08/12/2011,0.1,Savita,3959,3959,3959,
,09/12/2011,0.1,Savita,3950,3950,3950,
,10/12/2011,0.1,Savita,3950,3950,3950,
,11/12/2011,0.1,Savita,3950,3950,3950,
,12/12/2011,0.1,Savita,3850,3850,3850,
,13/12/2011,1.2,Savita,3748,3875,3820,
,14/12/2011,0.1,Savita,3885,3885,3885,
,15/12/2011,0.1,Savita,3900,3900,3900,
,16/12/2011,0.1,Savita,3775,3775,3775,
,17/12/2011,282.3,Savita,3840,3840,3840,
,18/12/2011,0.1,Savita,3840,3840,3840,
,19/12/2011,0.1,Savita,3850,3850,3850,
,20/12/2011,0.1,Savita,3865,3865,3865,
,21/12/2011,0.1,Savita,3850,3850,3850,
,22/12/2011,0.1,Savita,3800,3800,3800,
,23/12/2011,0.1,Savita,3800,3800,3800,
,24/12/2011,0.1,Savita,3800,3800,3800,
,25/12/2011,0.1,Savita,3800,3800,3800,
,26/12/2011,0.1,Savita,3880,3880,3880,
,27/12/2011,0.1,Savita,3880,3880,3880,
,28/12/2011,410.4,Savita,3680,3873,3750,
,29/12/2011,339,Savita,3711,3941,3880,
,30/12/2011,0.1,Savita,3857,3857,3857,
,31/12/2011,0.1,Savita,3775,3775,3775,
Boath,20/12/2011,87.3,Cotton (Unginned),3735,3735,3735,
,21/12/2011,192.8,Cotton (Unginned),3735,3735,3735,
Chevella,02/12/2011,10,Desi,3000,3000,3000,
Choppadandi,01/12/2011,32,Cotton (Unginned),3500,3700,3665,
,02/12/2011,42,Cotton (Unginned),3400,3750,3700,
,05/12/2011,82.1,Cotton (Unginned),3505,3735,3660,
,07/12/2011,85.6,Cotton (Unginned),3630,3890,3800,
,08/12/2011,59.7,Cotton (Unginned),3635,3885,3830,
,09/12/2011,90,Cotton (Unginned),3600,3865,3825,
,12/12/2011,89.7,Cotton (Unginned),3600,3865,3790,
,13/12/2011,79.2,Cotton (Unginned),3630,3820,3750,
,14/12/2011,53.4,Cotton (Unginned),3685,3830,3755,
,15/12/2011,63.9,Cotton (Unginned),3650,3865,3770,
,16/12/2011,89.2,Cotton (Unginned),3600,3850,3770,
,19/12/2011,102.8,Cotton (Unginned),3640,3900,3885,
,20/12/2011,79,Cotton (Unginned),3650,3960,3810,
,21/12/2011,92.8,Cotton (Unginned),3630,3950,3870,
,22/12/2011,88,Cotton (Unginned),3600,3905,3760,
,23/12/2011,122.8,Cotton (Unginned),3600,3895,3820,
,26/12/2011,97.7,Cotton (Unginned),3600,3830,3705,
,27/12/2011,101,Cotton (Unginned),3450,3855,3700,
,28/12/2011,76.1,Cotton (Unginned),3600,3870,3730,
,29/12/2011,90.1,Cotton (Unginned),3600,3900,3840,
,30/12/2011,96.4,Cotton (Unginned),3680,4000,3880,
Dharmaram,01/12/2011,20, ,NR,NR,NR,
,02/12/2011,55, ,NR,NR,NR,
,03/12/2011,50, ,NR,NR,NR,
,04/12/2011,45, ,NR,NR,NR,
,05/12/2011,40, ,NR,NR,NR,
,06/12/2011,50, ,NR,NR,NR,
,07/12/2011,40, ,NR,NR,NR,
,08/12/2011,47.5, ,NR,NR,NR,
,10/12/2011,25, ,NR,NR,NR,
,11/12/2011,15, ,NR,NR,NR,
,12/12/2011,40, ,NR,NR,NR,
,13/12/2011,20, ,NR,NR,NR,
,14/12/2011,400, ,NR,NR,NR,
,15/12/2011,50, ,NR,NR,NR,
,16/12/2011,20, ,NR,NR,NR,
,17/12/2011,20, ,NR,NR,NR,
,19/12/2011,50, ,NR,NR,NR,
,20/12/2011,40, ,NR,NR,NR,
,22/12/2011,40, ,NR,NR,NR,
,23/12/2011,30, ,NR,NR,NR,
,24/12/2011,25, ,NR,NR,NR,
,26/12/2011,50, ,NR,NR,NR,
,27/12/2011,40, ,NR,NR,NR,
,29/12/2011,45, ,NR,NR,NR,
,30/12/2011,35, ,NR,NR,NR,
,31/12/2011,25, ,NR,NR,NR,
Indravelly(Utnoor),01/12/2011,80.6,Cotton (Unginned),3600,3700,3650,
,02/12/2011,69.9,Cotton (Unginned),3600,3670,3650,
,03/12/2011,56.5,Cotton (Unginned),3700,3720,3700,
,04/12/2011,10.2,Cotton (Unginned),3700,3725,3725,
,05/12/2011,72.5,Cotton (Unginned),3725,3770,3750,
,06/12/2011,84.5,Cotton (Unginned),3700,3770,3750,
