Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad,01/11/2011,912,Cotton (Unginned),3900,4200,4050,
,02/11/2011,518.3,Cotton (Unginned),4000,4170,4085,
,03/11/2011,676.8,Cotton (Unginned),4000,4220,4110,
,04/11/2011,678.2,Cotton (Unginned),4000,4220,4110,
,05/11/2011,767,Cotton (Unginned),4050,4220,4135,
,08/11/2011,745.3,Cotton (Unginned),4000,4181,4090,
,09/11/2011,907.1,Cotton (Unginned),3900,4100,4000,
,10/11/2011,1019.8,Cotton (Unginned),3900,4021,3960,
,11/11/2011,912.1,Cotton (Unginned),3770,4000,3885,
,12/11/2011,1007.3,Cotton (Unginned),3900,4050,3975,
,14/11/2011,19.7,Cotton (Unginned),3900,4080,3990,
,15/11/2011,1217.4,Cotton (Unginned),3800,4000,3900,
,16/11/2011,912,Cotton (Unginned),3810,3990,3900,
,17/11/2011,631.4,Cotton (Unginned),3800,3970,3885,
,18/11/2011,550.8,Cotton (Unginned),3800,4060,3930,
,19/11/2011,971.4,Cotton (Unginned),3800,4050,3925,
,21/11/2011,1194.6,Cotton (Unginned),3800,4011,3905,
,22/11/2011,1362.7,Cotton (Unginned),3850,3950,3930,
,23/11/2011,899.6,Cotton (Unginned),3700,3900,3850,
,24/11/2011,801,Cotton (Unginned),3600,3860,3750,
,26/11/2011,1454.4,Cotton (Unginned),3650,3800,3750,
,28/11/2011,3606,Cotton (Unginned),3650,3800,3750,
,29/11/2011,1909.1,Cotton (Unginned),3500,3800,3750,
,30/11/2011,2001.8,Cotton (Unginned),3650,3730,3700,
Amangal,01/11/2011,0.1,Other,3800,3900,3850,
,02/11/2011,0.1,Other,3900,3900,3900,
,03/11/2011,0.1,Other,3800,4000,3900,
,05/11/2011,0.1,Other,3900,3900,3900,
,06/11/2011,0.1,Other,3900,3900,3900,
,07/11/2011,0.1,Other,3900,3900,3900,
,08/11/2011,0.1,Other,4000,4000,4000,
,10/11/2011,0.1,Other,3800,3800,3800,
,11/11/2011,0.1,Other,3900,4000,3975,
Armoor,18/11/2011,8,Other,4000,4000,4000,
Asifabad,01/11/2011,209.2,Cotton (Unginned),3900,4203,4100,
,02/11/2011,189.9,Cotton (Unginned),4080,4200,4100,
,03/11/2011,144,Cotton (Unginned),3900,4170,4100,
,04/11/2011,175.7,Cotton (Unginned),4000,4180,4100,
,05/11/2011,266.2,Cotton (Unginned),4050,4150,4100,
,06/11/2011,196.6,Cotton (Unginned),4000,4180,4100,
,07/11/2011,73,Cotton (Unginned),4050,4180,4100,
,08/11/2011,173.6,Cotton (Unginned),4050,4180,4100,
,09/11/2011,342.9,Cotton (Unginned),3850,4051,4050,
,10/11/2011,360.2,Cotton (Unginned),3800,3970,3950,
,11/11/2011,247.6,Cotton (Unginned),3800,3950,3950,
,12/11/2011,197.1,Cotton (Unginned),3850,4050,3950,
,14/11/2011,68.1,Cotton (Unginned),3850,4150,4000,
,15/11/2011,252.1,Cotton (Unginned),3850,4030,3850,
,16/11/2011,181.4,Cotton (Unginned),3850,4000,3950,
,17/11/2011,172.3,Cotton (Unginned),3850,4000,3920,
,18/11/2011,160.4,Cotton (Unginned),3850,4030,3950,
,19/11/2011,106.7,Cotton (Unginned),3900,4000,3950,
,20/11/2011,34.4,Cotton (Unginned),3850,4000,3950,
,21/11/2011,71.8,Cotton (Unginned),3850,4000,3950,
,22/11/2011,377,Cotton (Unginned),3750,4000,3900,
,23/11/2011,399.9,Cotton (Unginned),3750,4000,3900,
,24/11/2011,338.4,Cotton (Unginned),3750,3850,3800,
,25/11/2011,209.6,Cotton (Unginned),3700,3840,3830,
,26/11/2011,278.9,Cotton (Unginned),3700,3840,3830,
,27/11/2011,271.4,Cotton (Unginned),3700,3830,3800,
,28/11/2011,157.8,Cotton (Unginned),3700,3800,3750,
,29/11/2011,282,Cotton (Unginned),3650,3800,3750,
,30/11/2011,389.4,Cotton (Unginned),3500,3730,3700,
Badepalli,02/11/2011,141.8,Desi,3819,4212,4059,
,05/11/2011,260.7,Desi,3870,4241,4136,
,06/11/2011,0.1,Desi,3870,4241,4089,
,09/11/2011,209.5,Desi,3450,4005,3885,
,12/11/2011,283.6,Desi,3609,4122,3869,
,13/11/2011,0.1,Desi,3609,4122,3869,
,16/11/2011,203.5,Desi,3501,4029,3860,
,19/11/2011,514.3,Desi,3639,4049,3911,
,20/11/2011,0.1,Desi,3639,4049,3911,
,23/11/2011,415.1,Desi,3502,3939,3855,
,26/11/2011,674.7,Desi,3409,3841,3765,
,27/11/2011,0.1,Desi,3409,3841,3768,
,30/11/2011,360.1,Desi,3390,3670,3570,
Bhainsa,01/11/2011,511.7,Cotton (Unginned),4000,4311,4200,
,02/11/2011,542.5,Cotton (Unginned),4150,4350,4200,
,03/11/2011,500.6,Cotton (Unginned),4250,4350,4250,
,04/11/2011,271.1,Cotton (Unginned),4150,4300,4200,
,05/11/2011,271,Cotton (Unginned),4250,4311,4250,
,08/11/2011,253.9,Cotton (Unginned),4200,4300,4250,
,09/11/2011,427.1,Cotton (Unginned),4150,4350,4200,
,10/11/2011,267,Cotton (Unginned),4150,4250,4150,
,11/11/2011,223.4,Cotton (Unginned),4100,4261,4200,
,12/11/2011,351.7,Cotton (Unginned),4150,4300,4200,
,14/11/2011,496.2,Cotton (Unginned),4125,4325,4200,
,15/11/2011,703.1,Cotton (Unginned),4200,4311,4250,
,16/11/2011,547.6,Cotton (Unginned),4175,4300,4250,
,17/11/2011,414.1,Cotton (Unginned),4000,4250,4150,
,18/11/2011,554.7,Cotton (Unginned),3900,4268,4200,
,19/11/2011,555.8,Cotton (Unginned),4100,4180,4100,
,21/11/2011,478.8,Cotton (Unginned),4201,4230,4201,
,22/11/2011,571.6,Cotton (Unginned),4100,4230,4150,
,23/11/2011,543.9,Cotton (Unginned),4000,4131,4100,
,24/11/2011,562.1,Cotton (Unginned),4050,4062,4050,
,26/11/2011,606.1,Cotton (Unginned),3950,3980,3950,
,28/11/2011,475.8,Cotton (Unginned),3700,3800,3750,
,29/11/2011,384.9,Cotton (Unginned),3700,3800,3750,
,30/11/2011,349.9,Cotton (Unginned),3650,3690,3650,
Bichkunda,01/11/2011,0.1,G-6,4401,4401,4401,
,,,Savita,4301,4301,4301,
,02/11/2011,0.1,Savita,4361,4361,4361,
,03/11/2011,0.1,Savita,4371,4371,4371,
,04/11/2011,0.1,Savita,4561,4561,4561,
,05/11/2011,0.1,Savita,4501,4501,4501,
,06/11/2011,0.1,Savita,4501,4501,4501,
,07/11/2011,0.1,Savita,4501,4501,4501,
,08/11/2011,44.6,Savita,4286,4305,4300,
,09/11/2011,1.5,Savita,4211,4211,4211,
,10/11/2011,1.5,Savita,4175,4175,4175,
,11/11/2011,1.5,Savita,4271,4271,4271,
,13/11/2011,0.1,Savita,4440,4440,4440,
,14/11/2011,0.1,Savita,4300,4300,4300,
,15/11/2011,0.1,Savita,4175,4175,4175,
,16/11/2011,0.1,Savita,4132,4132,4132,
,17/11/2011,0.1,Savita,4325,4325,4325,
,18/11/2011,1.5,Savita,4325,4325,4325,
,19/11/2011,0.1,Savita,4225,4225,4225,
,20/11/2011,0.1,Savita,4225,4225,4225,
,21/11/2011,0.1,Savita,4225,4225,4225,
,22/11/2011,0.1,Savita,4125,4125,4125,
,23/11/2011,0.1,Savita,4080,4080,4080,
,24/11/2011,0.1,Savita,4000,4000,4000,
,25/11/2011,0.1,Savita,4000,4000,4000,
,26/11/2011,0.1,Savita,4011,4011,4011,
,27/11/2011,0.1,Savita,4011,4011,4011,
,28/11/2011,0.1,Savita,3750,3750,3750,
,29/11/2011,0.1,Savita,3800,3800,3800,
,30/11/2011,0.1,Savita,3900,3900,3900,
Choppadandi,01/11/2011,69.9,Cotton (Unginned),3700,4120,4070,
,02/11/2011,100.4,Cotton (Unginned),3700,4140,4100,
,03/11/2011,68.8,Cotton (Unginned),3700,4105,4075,
,04/11/2011,94.8,Cotton (Unginned),3700,4150,4100,
,08/11/2011,137.9,Cotton (Unginned),3650,4025,3950,
,09/11/2011,97.8,Cotton (Unginned),3700,3955,3885,
,11/11/2011,99.3,Cotton (Unginned),3600,4025,3990,
,15/11/2011,126.5,Cotton (Unginned),3500,3880,3825,
,16/11/2011,55,Cotton (Unginned),3650,3920,3850,
,17/11/2011,39.5,Cotton (Unginned),3650,4100,3990,
,18/11/2011,58.8,Cotton (Unginned),3600,3980,3900,
,21/11/2011,80.8,Cotton (Unginned),3700,3890,3800,
,22/11/2011,63.6,Cotton (Unginned),3650,3885,3830,
,23/11/2011,63.8,Cotton (Unginned),3650,3850,3800,
,24/11/2011,60.4,Cotton (Unginned),3650,3820,3770,
,28/11/2011,125.8,Cotton (Unginned),3500,3725,3635,
,29/11/2011,96.2,Cotton (Unginned),3500,3640,3550,
,30/11/2011,85.1,Cotton (Unginned),3450,3745,3660,
Indravelly(Utnoor),02/11/2011,73.8,Cotton (Unginned),4150,4170,4160,
,03/11/2011,33.3,Cotton (Unginned),4170,4220,4200,
,04/11/2011,12.3,Cotton (Unginned),4175,4220,4200,
,05/11/2011,29.5,Cotton (Unginned),4180,4220,4200,
,06/11/2011,61.3,Cotton (Unginned),4160,4180,4170,
,07/11/2011,28,Cotton (Unginned),4160,4190,4175,
,09/11/2011,48.7,Cotton (Unginned),4000,4125,4075,
,10/11/2011,54.6,Cotton (Unginned),3990,4020,4000,
,11/11/2011,48.2,Cotton (Unginned),3990,4010,4000,
,12/11/2011,30.5,Cotton (Unginned),4030,4070,4040,
,13/11/2011,44.7,Cotton (Unginned),4050,4100,4070,
,14/11/2011,16.8,Cotton (Unginned),4060,4075,4060,
,15/11/2011,62.4,Cotton (Unginned),3950,4040,4010,
,16/11/2011,30.2,Cotton (Unginned),3970,4040,4000,
,17/11/2011,46,Cotton (Unginned),3970,4010,4000,
,18/11/2011,34.2,Cotton (Unginned),3975,4100,4000,
,19/11/2011,37.7,Cotton (Unginned),3990,4100,4050,
