Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhadrachalam,02/05/2013,8,G-6,3870,3900,3875,
,15/05/2013,11,G-6,3870,3900,3875,
Chinnoar,01/05/2013,10, ,NR,NR,NR,
,02/05/2013,10, ,NR,NR,NR,
,03/05/2013,19, ,NR,NR,NR,
,05/05/2013,1.5, ,NR,NR,NR,
,07/05/2013,5, ,NR,NR,NR,
,08/05/2013,10, ,NR,NR,NR,
,09/05/2013,5, ,NR,NR,NR,
,10/05/2013,14, ,NR,NR,NR,
,13/05/2013,10, ,NR,NR,NR,
,15/05/2013,1.5, ,NR,NR,NR,
,16/05/2013,16, ,NR,NR,NR,
,17/05/2013,9, ,NR,NR,NR,
,19/05/2013,5, ,NR,NR,NR,
,20/05/2013,5, ,NR,NR,NR,
,22/05/2013,5, ,NR,NR,NR,
,26/05/2013,5, ,NR,NR,NR,
Madhira,15/05/2013,27,Cotton (Unginned),4000,4200,4100,
,16/05/2013,21,Cotton (Unginned),3900,4100,4000,
