Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad,01/04/2014,463.8,Cotton (Unginned),4650,4700,4700,
,02/04/2014,219.8,Cotton (Unginned),4650,4700,4700,
,03/04/2014,238.9,Cotton (Unginned),4559,4700,4700,
,04/04/2014,326.5,Cotton (Unginned),4089,4700,4606,
,07/04/2014,384.4,Cotton (Unginned),4418,4700,4559,
,09/04/2014,529.8,Cotton (Unginned),4700,4740,4740,
,10/04/2014,398.1,Cotton (Unginned),4218,4700,4700,
,11/04/2014,291.9, ,NR,NR,NR,
,12/04/2014,141.7,Cotton (Unginned),4324,4700,4559,
,15/04/2014,422.7,Cotton (Unginned),4418,4700,4512,
,16/04/2014,531.1,Cotton (Unginned),4296,4700,4436,
,17/04/2014,474.9,Cotton (Unginned),4324,4600,4559,
,19/04/2014,505.3,Cotton (Unginned),4324,4580,4416,
,20/04/2014,566.6,Cotton (Unginned),4305,4530,4396,
,22/04/2014,584.2,Cotton (Unginned),4258,4530,4348,
,23/04/2014,467.7,Cotton (Unginned),4077,4500,4348,
,24/04/2014,375.4,Cotton (Unginned),4140,4500,4320,
,25/04/2014,363,Cotton (Unginned),3915,4500,4320,
,26/04/2014,405.5,Cotton (Unginned),4140,4500,4275,
,28/04/2014,551.4,Cotton (Unginned),4275,4500,4365,
Asifabad,16/04/2014,462,Cotton (Unginned),4620,4620,4620,
Badepalli,12/04/2014,311.4,Desi,3760,4810,4200,
Bhadrachalam,01/04/2014,25,G-6,4400,4700,4500,
,02/04/2014,12,G-6,4400,4700,4500,
,04/04/2014,8,G-6,4300,4500,4400,
,11/04/2014,12,G-6,4500,4700,4660,
,15/04/2014,8,G-6,4300,4700,4500,
,17/04/2014,14,G-6,4200,4700,4500,
,19/04/2014,8,G-6,4400,4700,4500,
,21/04/2014,5,G-6,4300,4700,4400,
,22/04/2014,12,G-6,4200,4700,4400,
,25/04/2014,12,G-6,4300,4700,4500,
,28/04/2014,12,G-6,4000,4500,4300,
Bhainsa,01/04/2014,115.6,Cotton (Unginned),4560,4742,4742,
,02/04/2014,26.5,Cotton (Unginned),4560,4742,4742,
,03/04/2014,50.8,Cotton (Unginned),4560,4742,4742,
,04/04/2014,74,170-CO2 (Unginned),4560,4742,4742,
,05/04/2014,115.6,Cotton (Unginned),4560,4742,4742,
,07/04/2014,27.1,Cotton (Unginned),4560,4742,4742,
,09/04/2014,195.5,Cotton (Unginned),4560,4742,4742,
,10/04/2014,76.9,Cotton (Unginned),4568,4750,4750,
,11/04/2014,41.3,Cotton (Unginned),4568,4750,4750,
,12/04/2014,10.8,Cotton (Unginned),4568,4750,4750,
,13/04/2014,29.8,Cotton (Unginned),4475,4652,4652,
,14/04/2014,29.8,Cotton (Unginned),4475,4652,4652,
