Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad,01/02/2014,1209.4,Cotton (Unginned),4550,4600,4600,
,03/02/2014,977.7,Cotton (Unginned),4550,4625,4600,
,04/02/2014,1177.8,Cotton (Unginned),4578,4600,4600,
,05/02/2014,819.3,Cotton (Unginned),4500,4600,4600,
,06/02/2014,949.4,Cotton (Unginned),4600,4650,4650,
,07/02/2014,937.3,Cotton (Unginned),4557,4670,4670,
,08/02/2014,900.4,Cotton (Unginned),4550,4680,4680,
,10/02/2014,1002.1,Cotton (Unginned),4586,4730,4730,
,11/02/2014,991.9,Cotton (Unginned),4650,4700,4700,
,12/02/2014,955.4,Cotton (Unginned),4700,4720,4720,
,13/02/2014,1046,Cotton (Unginned),4650,4700,4700,
,14/02/2014,1077.2,Cotton (Unginned),4650,4700,4700,
,15/02/2014,818.5,Cotton (Unginned),4653,4660,4660,
,17/02/2014,769.5,Cotton (Unginned),4600,4640,4640,
,19/02/2014,654.4,Cotton (Unginned),4578,4610,4610,
,20/02/2014,628.5,Cotton (Unginned),4550,4600,4600,
,21/02/2014,581.7,Cotton (Unginned),4550,4600,4600,
,22/02/2014,549.2,Cotton (Unginned),4550,4600,4600,
,24/02/2014,512.3,Cotton (Unginned),4600,4630,4630,
,25/02/2014,452.2,Cotton (Unginned),4550,4600,4600,
,26/02/2014,436.6,Cotton (Unginned),4600,4610,4610,
,28/02/2014,545,Cotton (Unginned),4550,4580,4580,
Asifabad,01/02/2014,22.9,Cotton (Unginned),4491,4907,4769,
,03/02/2014,19.2,Cotton (Unginned),4830,4876,4876,
,04/02/2014,24.2,Cotton (Unginned),4764,4902,4764,
,05/02/2014,24.8,Cotton (Unginned),4777,4869,4777,
,06/02/2014,27.5,Cotton (Unginned),4732,4823,4732,
,07/02/2014,20.5,Cotton (Unginned),4600,4876,4738,
,08/02/2014,9.9,Cotton (Unginned),4856,4950,4856,
,10/02/2014,14.9,Cotton (Unginned),4815,4907,4815,
,11/02/2014,14.3,Cotton (Unginned),4820,4914,4820,
,12/02/2014,6.6,Cotton (Unginned),4836,4882,4836,
,13/02/2014,5.7,Cotton (Unginned),4914,4914,4914,
,14/02/2014,3.6,Cotton (Unginned),4696,4696,4696,
,18/02/2014,2.8,Cotton (Unginned),4819,4819,4819,
,19/02/2014,13.7,Cotton (Unginned),4575,4758,4758,
,20/02/2014,20.8,Cotton (Unginned),4742,4788,4788,
,21/02/2014,25.4,Cotton (Unginned),4732,4777,4777,
,22/02/2014,31.8,Cotton (Unginned),4686,4777,4777,
,24/02/2014,12.1,Cotton (Unginned),4737,4823,4823,
,25/02/2014,13,Cotton (Unginned),4809,4809,4809,
,26/02/2014,2.4,Cotton (Unginned),4777,4777,4777,
,27/02/2014,2.4,Cotton (Unginned),4788,4788,4788,
Badepalli,01/02/2014,464.9,Desi,3701,4790,4459,
,05/02/2014,274.4,Desi,3770,4839,4429,
,08/02/2014,243.9,Desi,3769,4869,4539,
,12/02/2014,263,Desi,4009,4820,4489,
,19/02/2014,340.6,Desi,3789,4690,4409,
,22/02/2014,368.4,Desi,3729,4650,4169,
,26/02/2014,216.1,Desi,3767,4589,4289,
Bhadrachalam,01/02/2014,191.6,G-6,4700,4900,4875,
,02/02/2014,84,G-6,4860,4900,4875,
,04/02/2014,394.3,G-6,4850,4975,4900,
,05/02/2014,190,G-6,4820,4950,4850,
,06/02/2014,146,G-6,4700,4980,4845,
,07/02/2014,133.5,G-6,4500,4670,4630,
,08/02/2014,118,G-6,4600,4800,4750,
,09/02/2014,61.8,G-6,4750,4950,4800,
,10/02/2014,13.5,G-6,4500,4750,4660,
,13/02/2014,49,G-6,4550,4750,4600,
