Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adilabad,01/03/2017,1033.8,Cotton (Unginned),5396,5450,5450,
,02/03/2017,1112.9,Cotton (Unginned),5396,5450,5450,
,03/03/2017,1234.5,Cotton (Unginned),5396,5400,5400,
,04/03/2017,1344.8,Cotton (Unginned),5300,5380,5380,
,06/03/2017,1194.3,Cotton (Unginned),5326,5400,5400,
,07/03/2017,1245.6,Cotton (Unginned),5346,5400,5400,
,08/03/2017,849.2,Cotton (Unginned),5346,5370,5370,
,09/03/2017,861.2,Cotton (Unginned),5316,5400,5400,
,10/03/2017,980.3,Cotton (Unginned),5346,5380,5380,
,11/03/2017,909.5,Cotton (Unginned),5326,5350,5350,
,14/03/2017,743.1,Cotton (Unginned),5296,5340,5340,
,15/03/2017,732.7,Cotton (Unginned),5287,5330,5330,
,16/03/2017,743.7,Cotton (Unginned),5277,5330,5330,
,17/03/2017,718.4,Cotton (Unginned),5277,5340,5340,
,18/03/2017,643.4,Cotton (Unginned),5287,5393,5340,
,20/03/2017,545.8,Cotton (Unginned),5287,5340,5340,
,21/03/2017,781.3,Cotton (Unginned),5287,5340,5340,
,22/03/2017,814.5,Cotton (Unginned),5287,5310,5310,
,23/03/2017,753.1,Cotton (Unginned),5257,5330,5330,
,24/03/2017,795.8,Cotton (Unginned),5277,5320,5320,
,25/03/2017,787.9,Cotton (Unginned),5268,5330,5330,
,30/03/2017,601.8,Cotton (Unginned),5267,5340,5340,
,31/03/2017,345.2,Cotton (Unginned),5233,5310,5310,
Armoor,01/03/2017,3,Cotton (Unginned),3350,3350,3350,
,02/03/2017,145,Cotton (Unginned),4450,4500,4450,
,09/03/2017,17,Cotton (Unginned),4000,4100,4000,
,10/03/2017,13,Cotton (Unginned),4050,4100,4050,
,15/03/2017,11,Cotton (Unginned),4500,4500,4500,
,24/03/2017,5,Cotton (Unginned),5000,5000,5000,
,26/03/2017,7,Cotton (Unginned),4300,4300,4300,
Asifabad,01/03/2017,606.6,Cotton (Unginned),5300,5550,5500,
,03/03/2017,444.3,Cotton (Unginned),5300,5500,5500,
,05/03/2017,544.3,Cotton (Unginned),5250,5500,5500,
,08/03/2017,508.9,Cotton (Unginned),5200,5500,5500,
,09/03/2017,453.7,Cotton (Unginned),5250,5500,5500,
,11/03/2017,475.2,Cotton (Unginned),5250,5500,5500,
,13/03/2017,433.2,Cotton (Unginned),5250,5500,5500,
,14/03/2017,484.2,Cotton (Unginned),5300,5500,5500,
,15/03/2017,443.8,Cotton (Unginned),5250,5500,5500,
,16/03/2017,467.8,Cotton (Unginned),5250,5500,5500,
,17/03/2017,135.4,Cotton (Unginned),5200,5500,5500,
,18/03/2017,220.8,Cotton (Unginned),5200,5500,5500,
,20/03/2017,303.7,Cotton (Unginned),5200,5500,5500,
,21/03/2017,638.1,Cotton (Unginned),5250,5500,5500,
,22/03/2017,441.8,Cotton (Unginned),5200,5500,5500,
,23/03/2017,435.4,Cotton (Unginned),5200,5500,5500,
,24/03/2017,425.8,Cotton (Unginned),5250,5500,5500,
,25/03/2017,526.9,Cotton (Unginned),5250,5500,5500,
,27/03/2017,407.9,Cotton (Unginned),5250,5500,5500,
,28/03/2017,400.5,Cotton (Unginned),5250,5500,5500,
,30/03/2017,386.2,Cotton (Unginned),5250,5500,5500,
,31/03/2017,283.8,Cotton (Unginned),5250,5500,5500,
Badepalli,01/03/2017,98.8,Desi,3510,5369,4869,
,04/03/2017,105.2,Desi,3670,5411,4889,
,08/03/2017,74.6,Desi,3690,5425,4989,
,11/03/2017,78.8,Desi,3519,5341,4949,
,15/03/2017,52.8,Desi,3510,5301,4889,
,18/03/2017,69.7,Desi,3589,5401,4909,
,22/03/2017,29.6,Desi,3555,5301,4209,
,25/03/2017,41,Desi,3600,5479,4999,
Banswada,10/03/2017,1,170-CO2 (Unginned),3680,4160,4160,
Bhadrachalam,01/03/2017,8,Cotton (Unginned),4160,4375,4160,
,02/03/2017,13,Cotton (Unginned),5000,5200,5000,
,04/03/2017,16,Cotton (Unginned),4550,4600,4550,
,05/03/2017,9.5,Cotton (Unginned),4160,4220,4160,
,07/03/2017,3,Cotton (Unginned),4160,4180,4160,
,08/03/2017,9.5,Cotton (Unginned),4160,4250,4160,
,10/03/2017,38.5,Cotton (Unginned),4300,5000,4500,
,18/03/2017,10,Cotton (Unginned),4160,5000,4160,
,19/03/2017,8.5,Cotton (Unginned),4160,4750,4160,
,21/03/2017,8,Cotton (Unginned),4160,5000,4160,
,23/03/2017,12,Cotton (Unginned),4160,5000,4160,
,25/03/2017,11,Cotton (Unginned),5000,5500,5000,
,26/03/2017,11,Cotton (Unginned),5454,5500,5454,
Bhainsa,01/03/2017,1313.2,Cotton (Unginned),5000,5375,5150,
,02/03/2017,779.4,Cotton (Unginned),5000,5400,5200,
,03/03/2017,704.2,Cotton (Unginned),5000,5425,5200,
,04/03/2017,804.5,Cotton (Unginned),5000,5450,5200,
,06/03/2017,914.1,Cotton (Unginned),5000,5450,5150,
,07/03/2017,950,Cotton (Unginned),5000,5500,5200,
,08/03/2017,956.8,Cotton (Unginned),5000,5500,5200,
,09/03/2017,955.9,Cotton (Unginned),5000,5600,5200,
,10/03/2017,912.2,Cotton (Unginned),5000,5525,5200,
,11/03/2017,758,Cotton (Unginned),5000,5525,5200,
,14/03/2017,801.4,Cotton (Unginned),5000,5450,5200,
,15/03/2017,784.8,Cotton (Unginned),5000,5400,5150,
,16/03/2017,887.1,Cotton (Unginned),5000,5400,5150,
,17/03/2017,550.8,Cotton (Unginned),5000,5450,5100,
,18/03/2017,568.7,Cotton (Unginned),4900,5475,5100,
,20/03/2017,691.9,Cotton (Unginned),4800,5475,5000,
,21/03/2017,513.6,Cotton (Unginned),4800,5475,5000,
,22/03/2017,450.3,Cotton (Unginned),4800,5500,5000,
,23/03/2017,659.9,Cotton (Unginned),4800,5500,5100,
,24/03/2017,521.1,Cotton (Unginned),4700,5500,5000,
,25/03/2017,772.4,Cotton (Unginned),4700,5500,5000,
,27/03/2017,474.2,Cotton (Unginned),4700,5400,5000,
,30/03/2017,859.1,Cotton (Unginned),4650,5450,5000,
,31/03/2017,562,Cotton (Unginned),4650,5450,5000,
Bichkunda,16/03/2017,4.5,Cotton (Unginned),4600,4600,4600,
,18/03/2017,11,Cotton (Unginned),5250,5250,5250,
,19/03/2017,18,Cotton (Unginned),4583,4583,4583,
,20/03/2017,10,Cotton (Unginned),5000,5000,5000,
,25/03/2017,5,Cotton (Unginned),4000,4000,4000,
,26/03/2017,18,Cotton (Unginned),5416,5416,5416,
,27/03/2017,11,Cotton (Unginned),4545,4545,4545,
Birkur,03/03/2017,5,170-CO2 (Unginned),3860,4610,4260,
Boath,01/03/2017,180.9,Cotton (Unginned),5350,5450,5450,
,02/03/2017,199.9,Cotton (Unginned),5350,5450,5450,
,03/03/2017,236.4,Cotton (Unginned),5200,5450,5450,
,04/03/2017,438.9,Cotton (Unginned),5200,5400,5400,
