Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gangadhara,26/09/2017,2.5,Cotton (Unginned),4000,4300,4200,
,27/09/2017,14,Cotton (Unginned),4200,4400,4300,
,30/09/2017,7,Cotton (Unginned),4200,4400,4300,
Jammikunta,01/09/2017,53.3,Cotton (Unginned),5380,5380,5380,
,04/09/2017,9.5,Cotton (Unginned),4900,5260,5250,
,05/09/2017,37.2,Cotton (Unginned),4300,5250,5250,
,06/09/2017,35.1,Cotton (Unginned),4500,5360,5200,
,07/09/2017,26.2,Cotton (Unginned),5100,5380,5380,
,08/09/2017,38,Cotton (Unginned),5200,5390,5370,
,11/09/2017,68.9,Cotton (Unginned),5000,5270,5270,
,12/09/2017,41.7,Cotton (Unginned),5270,5330,5330,
,14/09/2017,49.8,Cotton (Unginned),5100,5300,5300,
,15/09/2017,35.8,Cotton (Unginned),4500,5300,5300,
,19/09/2017,34.4,Cotton (Unginned),4900,5250,5250,
,21/09/2017,29.8,Cotton (Unginned),5150,5250,5250,
,22/09/2017,27.8,Cotton (Unginned),4800,5250,5250,
,25/09/2017,43.2,Cotton (Unginned),4900,5230,5230,
,26/09/2017,26.8,Cotton (Unginned),5000,5210,5200,
,27/09/2017,31.4,Cotton (Unginned),4900,5200,5200,
Karimnagar,04/09/2017,2.6,Cotton (Unginned),3000,5001,4850,
,07/09/2017,14.5,Cotton (Unginned),4271,5001,4971,
,11/09/2017,16,CO-2 (Unginned),4029,4829,4469,
,14/09/2017,14.1,Cotton (Unginned),4079,4879,4649,
,18/09/2017,6.6,Cotton (Unginned),3579,4479,3979,
Kesamudram,01/09/2017,58,Other,4061,5151,4850,
,04/09/2017,18.5,Other,4061,5119,4850,
,06/09/2017,40.8,Other,4061,5146,4761,
,07/09/2017,60.6,Other,4161,5141,4901,
,08/09/2017,63.8,Other,4161,5151,4862,
,12/09/2017,94.3,Other,4175,5139,4781,
,14/09/2017,106.8,Other,4161,5075,4832,
,15/09/2017,50.4,Other,4109,4999,4809,
,18/09/2017,43.4,Other,3721,5011,4736,
,19/09/2017,57.7,Other,3711,5014,4731,
,21/09/2017,16.3,Other,3809,5021,4879,
,22/09/2017,23,Other,3752,4999,4689,
,25/09/2017,34.3,Other,3821,5079,4869,
,26/09/2017,11.3,Other,3109,5051,4759,
Khammam,01/09/2017,31.8,Cotton (Unginned),4300,5100,4701,
,05/09/2017,30,Cotton (Unginned),4200,4950,4500,
,06/09/2017,31.7,Cotton (Unginned),4300,5000,4700,
,07/09/2017,53.3,Cotton (Unginned),3900,4950,4400,
,11/09/2017,47.9,Cotton (Unginned),3900,4950,4500,
,12/09/2017,34,Cotton (Unginned),3500,4925,4550,
,14/09/2017,17.6,Cotton (Unginned),3500,5000,4600,
,15/09/2017,19.7,Cotton (Unginned),3200,4900,4500,
,16/09/2017,14.6,CO2 (Ginned),3650,5000,4650,
,18/09/2017,44.6,Cotton (Unginned),3600,5000,4650,
,22/09/2017,35,Cotton (Unginned),3636,5050,4600,
,23/09/2017,26.4,Cotton (Unginned),3400,5025,4700,
,25/09/2017,74.9,Cotton (Unginned),4011,5000,4500,
Mahabubabad,01/09/2017,6.1,Desi,3895,5025,4850,
Parkal,07/09/2017,1,Cotton (Unginned),4600,5200,5100,
,09/09/2017,0.6,Cotton (Unginned),4210,4860,4560,
